"ID","UniqueId","Date","Time","site","TYPE","MakeId","ModelId","All Data With MakeandModel Field_MakeandModel","Make and Model Lookup With MakeandModel Field_MakeandModel","Make Code","Make Desc","Model Code","Model Desc","Generic Model","PropulsionTypeId","Propulsion Type Code","Propulsion Type Desc","BodyTypeId","Body Type Code","Body Type Desc 1","BodyTypeDesc2","Postcode","MonthFirstReg","FirstRegMonth","YearManufacture","WheelPlanId","Wheel Plan Code","Wheel Plan Desc","GrossWeight","EngineSize","Co","Co2","Part","Nox","Hc","Hcnox","Euro","EuroStatusNum","Mass"
1,"978900","18/06/2016","00:00:15","1",,"D5","301","D5_301","D5_301","D5","HONDA","301","CR-V EX I-DTEC","HONDA CRV","2","2","DIESEL","6","6","CARS","Estate",,"2011-03","2011-03-01","2011","C","C","2 AXLE RIGID BODY","1722","2199","0.209","171","0.001","0.154","NULL","NULL","NULL","EC 715/2007 AS LAST AMENDED BY","2160"
2,"851096","18/06/2016","00:00:22","1",,"MH","93","MH_93","MH_93","MH","BMW","93","320D SE TOURING","BMW 3 SERIES","2","2","DIESEL","6","6","CARS","Estate","YO231","2005-11","2005-11-01","2005","C","C","2 AXLE RIGID BODY","0","1995","0.087","158","0.008","0.186","NULL","0.21","Euro 4","2003/76B","1580"
3,"5955","18/06/2016","00:00:50","1","Hackney","D3","297","D3_297","D3_297","D3","PEUGEOT","297","HORIZON S AC","PEUGEOT HORIZON","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","LS133","2012-10","2012-10-01","2012","C","C","2 AXLE RIGID BODY","0","1560","0.254","125","NULL","0.157","NULL","0.195","NULL","566/2011/CE","1660"
4,"53716","18/06/2016","00:00:53","1",,"N1","720","N1_720","N1_720","N1","FIAT","720","PANDA DYNAMIC MULTIJET","FIAT PANDA","2","2","DIESEL","14","14","CARS","5 Door Hatchback","HG035","2006-01","2006-01-01","2006","C","C","2 AXLE RIGID BODY","0","1248","0.095","114","0.02","0.145","NULL","0.165","NULL","70/220*2002/80B","1010"
5,"242053","18/06/2016","00:01:01","1",,"MC","117","MC_117","MC_117","MC","VOLKSWAGEN","117","GOLF FSI SE","VOLKSWAGEN GOLF","1","1","PETROL","14","14","CARS","5 Door Hatchback","BD024","2005-04","2005-04-01","2005","C","C","2 AXLE RIGID BODY","0","1600","0.091","158","NULL","0.018","0.049","NULL","NULL","70/220/EWG*2002/80B/EC","1378"
6,"961413","18/06/2016","00:01:06","1",,"R1","418","R1_418","R1_418","R1","TOYOTA","418","PREVIA CDX WTI AUTO","TOYOTA PREVIA","1","1","PETROL","96","96","CARS","Multi Purpose Vehicle","DL061","2003-05","2003-05-01","2003","C","C","2 AXLE RIGID BODY","0","2362","1.02","259","NULL","0.02","0.08","NULL","NULL","1999/102/EC","1810"
7,"100114","18/06/2016","00:01:23","1",,"N1","944","N1_944","N1_944","N1","FIAT","944","GRANDE PUNTO ACTIVE 77","FIAT PUNTO","1","1","PETROL","14","14","CARS","5 Door Hatchback","LS042","2009-03","2009-03-01","2009","C","C","2 AXLE RIGID BODY","0","1368","0.533","139","NULL","0.013","0.035","NULL","NULL","70/220*2003/76B","1115"
8,"950773","18/06/2016","00:01:27","1",,"MC","48","MC_48","MC_48","MC","VOLKSWAGEN","48","SHARAN CARAT TDI PD","VOLKSWAGEN SHARAN","2","2","DIESEL","96","96","CARS","Multi Purpose Vehicle","HG011","2004-04","2004-04-01","2004","C","C","2 AXLE RIGID BODY","0","1896","0.306","173","0.035","0.312","NULL","0.356","NULL","2002/80A/EC","1887"
9,"850521","18/06/2016","00:01:45","1",,"MM","668","MM_668","MM_668","MM","MERCEDES","668","E220 SE CDI AUTO","MERCEDES E CLASS","2","2","DIESEL","2","2","CARS","4 Door Saloon","SL014","2013-11","2013-11-01","2013","C","C","2 AXLE RIGID BODY","2300","2143","0.091","120","0.37","0.132","NULL","0.15","NULL","715/2007*195/2013J","1735"
10,"827706","18/06/2016","00:02:34","1",,"DF","344","DF_344","DF_344","DF","VAUXHALL","344","CORSA ACTIVE AC","VAUXHALL CORSA","1","1","PETROL","14","14","CARS","5 Door Hatchback","LS197","2012-09","2012-09-01","2012","C","C","2 AXLE RIGID BODY","0","1398","0.382","129","NULL","0.046","0.042","NULL","NULL","715/2007*566/2011A","1163"
11,"863952","18/06/2016","00:03:58","1",,"DF","415","DF_415","DF_415","DF","VAUXHALL","415","COMBO 2000 L1H1 CDTI SPORTIVE","VAUXHALL COMBO","2","2","DIESEL","22","22","GOODS","Panel Van","BD109","2013-12","2013-12-01","2013","C","C","2 AXLE RIGID BODY","2040","1248","0.266","133","NULL","0.206","NULL","0.248","Euro 5","715/2007*195/2013L","1365"
12,"935190","18/06/2016","00:04:45","1",,"QF","544","QF_544","QF_544","QF","VOLVO","544","XC60 R-DESIGN NAV D4","VOLVO XC60","2","2","DIESEL","6","6","CARS","Estate","HG032","2015-05","2015-05-01","2015","C","C","2 AXLE RIGID BODY","0","1969","0.262","117","0.001","0.05","NULL","0.072","NULL","715/2007*136/2014W","1854"
13,"828684","18/06/2016","00:05:21","1",,"D5","313","D5_313","D5_313","D5","HONDA","313","CR-V SE I-VTEC","HONDA CRV","1","1","PETROL","6","6","CARS","Estate","HG029","2013-09","2013-09-01","2013","C","C","2 AXLE RIGID BODY","1588","1997","0.45","173","NULL","0.007","NULL","NULL","NULL","EC 715/2007 AS LAST AMENDED BY","1588"
14,"490867","18/06/2016","00:05:24","1",,"LP","419","LP_419","LP_419","LP","PEUGEOT","419","BIPPER S HDI","PEUGEOT BIPPER","2","2","DIESEL","22","22","GOODS","Panel Van","LS042","2009-04","2009-04-01","2009","C","C","2 AXLE RIGID BODY","1700","1399","NULL","0","NULL","NULL","NULL","NULL","NULL",,"0"
15,"975362","18/06/2016","00:05:40","1",,"MA","501","MA_501","MA_501","MA","FORD","501","FIESTA STYLE","FORD FIESTA","1","1","PETROL","14","14","CARS","5 Door Hatchback","HG043","2006-08","2006-08-01","2006","C","C","2 AXLE RIGID BODY","0","1242","0.308","142","NULL","0.027","0.059","NULL","Euro 4","98/69/EC","1102"
16,"884097","18/06/2016","00:05:42","1",,"BB","269","BB_269","BB_269","BB","MINI","269","COOPER","MINI COOPER","1","1","PETROL","13","13","CARS","3 Door Hatchback",,"2014-05","2014-05-01","2014","C","C","2 AXLE RIGID BODY","0","1499","0.238","105","NULL","0.027","0.055","NULL","Euro 6","195/2013W","1160"
17,"890789","18/06/2016","00:07:29","1",,"MN","453","MN_453","MN_453","MN","FORD","453","FIESTA STYLE ECONETIC TDCI","FORD FIESTA","2","2","DIESEL","14","14","CARS","5 Door Hatchback","LS296","2013-09","2013-09-01","2013","C","C","2 AXLE RIGID BODY","1565","1560","0.289","87","NULL","0.152","NULL","0.175","Euro 5","715/2007; 630/2","1164"
18,"457507","18/06/2016","00:07:31","1","Private Hire","DA","172","DA_172","DA_172","DA","TOYOTA","172","AVENSIS TR D-4D","TOYOTA AVENSIS","2","2","DIESEL","14","14","CARS","5 Door Hatchback","BD212","2008-08","2008-08-01","2008","C","C","2 AXLE RIGID BODY","0","1998","0.17","146","0.019","0.2","NULL","0.22","NULL","2003/76B/EC","1580"
19,"993579","18/06/2016","00:07:32","1",,"F2","371","F2_371","F2_371","F2","FORD","371","TRANSIT 85 T280S FWD","FORD TRANSIT","2","2","DIESEL","22","22","GOODS","Panel Van","ML092","2009-05","2009-05-01","2009","C","C","2 AXLE RIGID BODY","0","2198","0.25","0","0.037","0.32","NULL","0.36","Euro 4","2003/76B","1699"
20,"934189","18/06/2016","00:07:35","1",,"DF","793","DF_793","DF_793","DF","VAUXHALL","793","CORSA LIMITED EDITION","VAUXHALL CORSA","1","1","PETROL","13","13","CARS","3 Door Hatchback","HG031","2013-10","2013-10-01","2013","C","C","2 AXLE RIGID BODY","0","1229","0.3","129","NULL","0.024","0.032","NULL","NULL","715/2007*566/2011J","1163"
21,"894408","18/06/2016","00:07:46","1",,"M3","813","M3_813","M3_813","M3","AUDI","813","A3 SPORT TDI QUATTRO","AUDI A3","2","2","DIESEL","14","14","CARS","5 Door Hatchback","LS169","2008-04","2008-04-01","2008","C","C","2 AXLE RIGID BODY","0","1968","0.033","173","0.001","0.192","NULL","0.205","NULL","70/220/EWG*2003/76B/EC","1555"
22,"972553","18/06/2016","00:07:47","1",,"MC","85","MC_85","MC_85","MC","VOLKSWAGEN","85","POLO TWIST","VOLKSWAGEN POLO","1","1","PETROL","14","14","CARS","5 Door Hatchback","BD087","2003-12","2003-12-01","2003","C","C","2 AXLE RIGID BODY","0","1390","0.165","154","NULL","0.047","0.075","NULL","NULL","2001/100B/EC","1164"
23,"1002301","18/06/2016","00:07:50","1",,"Q0","675","Q0_675","Q0_675","Q0","SKODA","675","OCTAVIA ELEGANCE TDI CR","SKODA OCTAVIA","2","2","DIESEL","14","14","CARS","5 Door Hatchback","TS057","2013-11","2013-11-01","2013","C","C","2 AXLE RIGID BODY","1880","1968","0.197","106","NULL","0.124","NULL","0.148","NULL","715/2007*630/2012J","1330"
24,"854607","18/06/2016","00:07:52","1",,"MN","457","MN_457","MN_457","MN","FORD","457","FIESTA TITANIUM","FORD FIESTA","1","1","PETROL","14","14","CARS","5 Door Hatchback","TS060","2013-09","2013-09-01","2013","C","C","2 AXLE RIGID BODY","1555","998","0.557","99","0.001","0.034","0.069","NULL","Euro 5","715/2007; 630/2","1147"
25,"980411","18/06/2016","00:07:59","1",,"L0","970","L0_970","L0_970","L0","CITROEN","970","C3 SX HDI","CITROEN C3","2","2","DIESEL","14","14","CARS","5 Door Hatchback","WF031","2007-03","2007-03-01","2007","C","C","2 AXLE RIGID BODY","0","1560","0.188","118","0.019","0.188","NULL","0.199","NULL","2003/76B/CE","1179"
26,"915771","18/06/2016","00:08:25","1",,"MC","576","MC_576","MC_576","MC","VOLKSWAGEN","576","GOLF GT TDI 140","VOLKSWAGEN GOLF","2","2","DIESEL","14","14","CARS","5 Door Hatchback","YO323","2008-10","2008-10-01","2008","C","C","2 AXLE RIGID BODY","0","1968","0.103","145","0.016","0.239","NULL","0.261","NULL","70/220/EWG*2003/76B/EC","1356"
27,"838539","18/06/2016","00:08:39","1",,"L0","903","L0_903","L0_903","L0","CITROEN","903","XSARA PICASSO EX-SIVE HDI","CITROEN XSARA","2","2","DIESEL","6","6","CARS","Estate","HG014","2006-05","2006-05-01","2006","C","C","2 AXLE RIGID BODY","0","1560","0.174","131","0.03","0.371","NULL","0.386","NULL","2003/76A/CE","1388"
28,"987188","18/06/2016","00:08:54","1",,"MB","172","MB_172","MB_172","MB","FORD","172","FOCUS STYLE 100","FORD FOCUS","1","1","PETROL","14","14","CARS","5 Door Hatchback","YO264","2009-04","2009-04-01","2009","C","C","2 AXLE RIGID BODY","0","1596","0.547","159","NULL","0.05","0.072","NULL","Euro 4","98/69/EC","1249"
29,"327831","18/06/2016","00:08:56","1",,"MJ","543","MJ_543","MJ_543","MJ","AUDI","543","A1 S LINE TDI","AUDI A1","2","2","DIESEL","13","13","CARS","3 Door Hatchback","HG031","2011-04","2011-04-01","2011","C","C","2 AXLE RIGID BODY","1590","1598","0.106","105","NULL","0.088","NULL","0.11","NULL","715/2007*692/2008A","1215"
